Time (of day);Time (seconds);TIME;Channel0;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7
0.554346412;0.000002994;2021-11-30 13:18:15.530;0.00;0.06;0.01;0.02;0.01;0.00;0.05;0.06
0.554381389;3.022003047;2021-11-30 13:18:18.552;0.00;0.06;0.07;0.02;0.01;0.00;0.05;0.06
0.554404282;5.000002905;2021-11-30 13:18:20.530;0.00;0.12;0.07;0.02;0.01;0.00;0.05;0.06
0.554450764;9.016003426;2021-11-30 13:18:24.546;0.00;0.12;0.13;0.02;0.01;0.00;0.05;0.06
0.554462153;10.000003445;2021-11-30 13:18:25.530;0.00;0.17;0.13;0.02;0.01;0.00;0.05;0.06
0.554520023;15.000003357;2021-11-30 13:18:30.530;0.00;0.23;0.13;0.02;0.01;0.00;0.05;0.06
0.554554745;18.000003429;2021-11-30 13:18:33.530;0.00;0.28;0.13;0.02;0.01;0.00;0.05;0.06
0.554624190;24.000002946;2021-11-30 13:18:39.530;0.00;0.34;0.13;0.02;0.01;0.00;0.05;0.06
0.554624375;24.016003161;2021-11-30 13:18:39.546;0.00;0.34;0.19;0.02;0.01;0.00;0.05;0.06
0.554693634;30.000003091;2021-11-30 13:18:45.530;0.00;0.4;0.19;0.02;0.01;0.00;0.05;0.06
0.554694016;30.033003063;2021-11-30 13:18:45.563;0.00;0.4;0.19;0.08;0.01;0.00;0.05;0.06
0.554763079;36.000003237;2021-11-30 13:18:51.530;0.00;0.46;0.19;0.08;0.01;0.00;0.05;0.06
0.554855671;44.000003221;2021-11-30 13:18:59.530;0.00;0.53;0.19;0.08;0.01;0.00;0.05;0.06
0.555006319;57.016003331;2021-11-30 13:19:12.546;0.00;0.53;0.25;0.08;0.01;0.00;0.05;0.06
0.555052431;61.000003423;2021-11-30 13:19:16.530;0.00;0.59;0.25;0.08;0.01;0.00;0.05;0.06
0.555110301;66.000003334;2021-11-30 13:19:21.530;0.00;0.64;0.25;0.08;0.01;0.00;0.05;0.06
0.555133889;68.038003369;2021-11-30 13:19:23.568;0.00;0.64;0.25;0.14;0.01;0.00;0.05;0.06
0.555145023;69.000003407;2021-11-30 13:19:24.530;0.00;0.7;0.25;0.14;0.01;0.00;0.05;0.06
0.555156794;70.017003398;2021-11-30 13:19:25.547;0.00;0.7;0.31;0.14;0.01;0.00;0.05;0.06
0.555167986;70.984003031;2021-11-30 13:19:26.514;0.06;0.7;0.31;0.14;0.01;0.00;0.05;0.06
0.555179745;72.000003480;2021-11-30 13:19:27.530;0.06;0.76;0.31;0.14;0.01;0.00;0.05;0.06
0.555214468;75.000002924;2021-11-30 13:19:30.530;0.06;0.81;0.31;0.14;0.01;0.00;0.05;0.06
0.555226227;76.016003372;2021-11-30 13:19:31.546;0.06;0.81;0.37;0.14;0.01;0.00;0.05;0.06
0.555237627;77.001002933;2021-11-30 13:19:32.531;0.06;0.89;0.37;0.14;0.01;0.00;0.05;0.06
0.555272338;80.000003464;2021-11-30 13:19:35.530;0.06;0.96;0.37;0.14;0.01;0.00;0.05;0.06
0.555284468;81.048003085;2021-11-30 13:19:36.578;0.06;0.96;0.37;0.14;0.07;0.00;0.05;0.06
0.555295486;82.000003303;2021-11-30 13:19:37.530;0.06;1.02;0.37;0.14;0.07;0.00;0.05;0.06
0.555295671;82.016002889;2021-11-30 13:19:37.546;0.06;1.02;0.44;0.14;0.07;0.00;0.05;0.06
0.555318634;84.000003142;2021-11-30 13:19:39.530;0.06;1.1;0.44;0.14;0.07;0.00;0.05;0.06
0.555341782;86.000002980;2021-11-30 13:19:41.530;0.06;1.16;0.44;0.14;0.07;0.00;0.05;0.06
0.555353542;87.016003429;2021-11-30 13:19:42.546;0.06;1.16;0.5;0.14;0.07;0.00;0.05;0.06
0.555364931;88.000003448;2021-11-30 13:19:43.530;0.06;1.22;0.5;0.14;0.07;0.00;0.05;0.06
0.555376887;89.033003025;2021-11-30 13:19:44.563;0.06;1.22;0.5;0.2;0.07;0.00;0.05;0.06
0.555411227;92.000003126;2021-11-30 13:19:47.530;0.06;1.27;0.5;0.2;0.07;0.00;0.05;0.06
0.555411412;92.016003341;2021-11-30 13:19:47.546;0.06;1.27;0.56;0.2;0.07;0.00;0.05;0.06
0.555434190;93.984003378;2021-11-30 13:19:49.514;0.12;1.27;0.56;0.2;0.07;0.00;0.05;0.06
0.555445949;95.000003198;2021-11-30 13:19:50.530;0.12;1.36;0.56;0.2;0.07;0.00;0.05;0.06
0.555457523;96.000003432;2021-11-30 13:19:51.530;0.12;1.44;0.56;0.2;0.07;0.00;0.05;0.06
0.555457708;96.016003018;2021-11-30 13:19:51.546;0.12;1.44;0.62;0.2;0.07;0.00;0.05;0.06
0.555480671;98.000003271;2021-11-30 13:19:53.530;0.12;1.53;0.62;0.2;0.07;0.00;0.05;0.06
0.555492245;99.000003505;2021-11-30 13:19:54.530;0.12;1.58;0.62;0.2;0.07;0.00;0.05;0.06
0.555503819;100.000003110;2021-11-30 13:19:55.530;0.12;1.68;0.62;0.2;0.07;0.00;0.05;0.06
0.555504005;100.016003325;2021-11-30 13:19:55.546;0.12;1.68;0.69;0.2;0.07;0.00;0.05;0.06
0.555516146;101.065003117;2021-11-30 13:19:56.595;0.12;1.68;0.69;0.2;0.07;0.06;0.05;0.06
