Time (of day);Time (seconds);Time;Channel0;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7;
0.64164642360992700;0.000000000;2021-11-19 15:23:58.251;26.14;25.28;25.14;25.08;25.38;25.48;24.94;24.6;
0.641646609;0.016000215;2021-11-19 15:23:58.267;26.14;25.7;25.14;25.08;25.38;25.48;24.94;24.6;
0.641646794;0.031999801;2021-11-19 15:23:58.283;26.14;25.7;29.2;25.08;25.38;25.48;24.94;24.6;
0.641646979;0.048000016;2021-11-19 15:23:58.299;26.14;25.7;29.2;39.62;25.38;25.48;24.94;24.6;
0.641647176;0.065000402;2021-11-19 15:23:58.316;26.14;25.7;29.2;39.62;46.4;25.48;24.94;24.6;
0.641647361;0.080999988;2021-11-19 15:23:58.332;26.14;25.7;29.2;39.62;46.4;363.9;24.94;24.6;
0.641647546;0.097000203;2021-11-19 15:23:58.348;26.14;25.7;29.2;39.62;46.4;363.9;192.14;24.6;
0.641647731;0.112999789;2021-11-19 15:23:58.364;26.14;25.7;29.2;39.62;46.4;363.9;192.14;146.78;
0.641658368;1.032000035;2021-11-19 15:23:59.283;26.14;25.7;29.3;39.62;46.4;363.9;192.14;146.78;
0.641658553;1.048000250;2021-11-19 15:23:59.299;26.14;25.7;29.3;40.08;46.4;363.9;192.14;146.78;
0.641658750;1.065000007;2021-11-19 15:23:59.316;26.14;25.7;29.3;40.08;48.24;363.9;192.14;146.78;
0.641658935;1.081000222;2021-11-19 15:23:59.332;26.14;25.7;29.3;40.08;48.24;343.8;192.14;146.78;
0.641659120;1.096999808;2021-11-19 15:23:59.348;26.14;25.7;29.3;40.08;48.24;343.8;191.98;146.78;
0.641659306;1.113000023;2021-11-19 15:23:59.364;26.14;25.7;29.3;40.08;48.24;343.8;191.98;144.04;
0.641669572;1.999999839;2021-11-19 15:24:00.251;26.22;25.7;29.3;40.08;48.24;343.8;191.98;144.04;
0.641669757;2.016000054;2021-11-19 15:24:00.267;26.22;25.78;29.3;40.08;48.24;343.8;191.98;144.04;
0.641669942;2.032000269;2021-11-19 15:24:00.283;26.22;25.78;29.4;40.08;48.24;343.8;191.98;144.04;
0.641670127;2.047999855;2021-11-19 15:24:00.299;26.22;25.78;29.4;40.68;48.24;343.8;191.98;144.04;
0.641670324;2.065000241;2021-11-19 15:24:00.316;26.22;25.78;29.4;40.68;49.14;343.8;191.98;144.04;
0.641670498;2.080000285;2021-11-19 15:24:00.331;26.22;25.78;29.4;40.68;49.14;334.22;191.98;144.04;
0.641670683;2.095999871;2021-11-19 15:24:00.347;26.22;25.78;29.4;40.68;49.14;334.22;190.96;144.04;
0.641670868;2.112000086;2021-11-19 15:24:00.363;26.22;25.78;29.4;40.68;49.14;334.22;190.96;141.38;
0.641681516;3.031999874;2021-11-19 15:24:01.283;26.22;25.78;29.54;40.68;49.14;334.22;190.96;141.38;
0.641681713;3.049000260;2021-11-19 15:24:01.300;26.22;25.78;29.54;41.12;49.14;334.22;190.96;141.38;
0.641681898;3.064999846;2021-11-19 15:24:01.316;26.22;25.78;29.54;41.12;50.12;334.22;190.96;141.38;
0.641682083;3.081000061;2021-11-19 15:24:01.332;26.22;25.78;29.54;41.12;50.12;326.28;190.96;141.38;
0.641682269;3.097000276;2021-11-19 15:24:01.348;26.22;25.78;29.54;41.12;50.12;326.28;190.82;141.38;
0.641682454;3.112999862;2021-11-19 15:24:01.364;26.22;25.78;29.54;41.12;50.12;326.28;190.82;139.88;
0.641693102;4.033000278;2021-11-19 15:24:02.284;26.22;25.78;29.6;41.12;50.12;326.28;190.82;139.88;
0.641693287;4.048999865;2021-11-19 15:24:02.300;26.22;25.78;29.6;41.7;50.12;326.28;190.82;139.88;
0.641693472;4.065000080;2021-11-19 15:24:02.316;26.22;25.78;29.6;41.7;51.08;326.28;190.82;139.88;
0.641693692;4.084000178;2021-11-19 15:24:02.335;26.22;25.78;29.6;41.7;51.08;320.06;190.82;139.88;
0.641693877;4.100000393;2021-11-19 15:24:02.351;26.22;25.78;29.6;41.7;51.08;320.06;191.04;139.88;
0.641694062;4.115999979;2021-11-19 15:24:02.367;26.22;25.78;29.6;41.7;51.08;320.06;191.04;139.12;
0.641704664;5.032000341;2021-11-19 15:24:03.283;26.22;25.78;29.68;41.7;51.08;320.06;191.04;139.12;
0.641704861;5.049000098;2021-11-19 15:24:03.300;26.22;25.78;29.68;42.04;51.08;320.06;191.04;139.12;
0.641705046;5.065000313;2021-11-19 15:24:03.316;26.22;25.78;29.68;42.04;52.9;320.06;191.04;139.12;
0.641705231;5.080999900;2021-11-19 15:24:03.332;26.22;25.78;29.68;42.04;52.9;310.98;191.04;139.12;
0.641705602;5.113000330;2021-11-19 15:24:03.364;26.22;25.78;29.68;42.04;52.9;310.98;191.04;137.84;
0.641716053;6.016000360;2021-11-19 15:24:04.267;26.22;25.86;29.68;42.04;52.9;310.98;191.04;137.84;
0.641716238;6.031999947;2021-11-19 15:24:04.283;26.22;25.86;29.88;42.04;52.9;310.98;191.04;137.84;
