Time(of day);Time (seconds);time;Channel0;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7
0.705027350;0.000824309;2021-11-23 16:55:14.363;24.9;24.52;24.54;25.14;25.42;26.04;27.18;34.44
0.705037986;0.919823926;2021-11-23 16:55:15.282;24.9;24.52;24.6;25.14;25.42;26.04;27.18;34.44
0.705038553;0.968824113;2021-11-23 16:55:15.331;24.9;24.52;24.6;25.14;25.42;26.14;27.18;34.44
0.705038738;0.984823699;2021-11-23 16:55:15.347;24.9;24.52;24.6;25.14;25.42;26.14;28.4;34.44
0.705038912;0.999823744;2021-11-23 16:55:15.362;24.9;24.52;24.6;25.14;25.42;26.14;28.4;42.02
0.705049190;1.887823730;2021-11-23 16:55:16.250;24.82;24.52;24.6;25.14;25.42;26.14;28.4;42.02
0.705050116;1.967824176;2021-11-23 16:55:16.330;24.82;24.52;24.6;25.14;25.42;26.22;28.4;42.02
0.705050301;1.983823762;2021-11-23 16:55:16.346;24.82;24.52;24.6;25.14;25.42;26.22;29.06;42.02
0.705050486;1.999823977;2021-11-23 16:55:16.362;24.82;24.52;24.6;25.14;25.42;26.22;29.06;45.46
0.705060764;2.887823964;2021-11-23 16:55:17.250;24.88;24.52;24.6;25.14;25.42;26.22;29.06;45.46
0.705060949;2.903824179;2021-11-23 16:55:17.266;24.88;24.58;24.6;25.14;25.42;26.22;29.06;45.46
0.705061319;2.935823980;2021-11-23 16:55:17.298;24.88;24.58;24.6;25.26;25.42;26.22;29.06;45.46
0.705061516;2.952823737;2021-11-23 16:55:17.315;24.88;24.58;24.6;25.26;25.54;26.22;29.06;45.46
0.705061690;2.967823781;2021-11-23 16:55:17.330;24.88;24.58;24.6;25.26;25.54;26.34;29.06;45.46
0.705061875;2.983823996;2021-11-23 16:55:17.346;24.88;24.58;24.6;25.26;25.54;26.34;29.74;45.46
0.705062060;2.999824211;2021-11-23 16:55:17.362;24.88;24.58;24.6;25.26;25.54;26.34;29.74;48.88
0.705073275;3.968824186;2021-11-23 16:55:18.331;24.88;24.58;24.6;25.26;25.54;26.5;29.74;48.88
0.705073461;3.984823772;2021-11-23 16:55:18.347;24.88;24.58;24.6;25.26;25.54;26.5;30.4;48.88
0.705073657;4.001824157;2021-11-23 16:55:18.364;24.88;24.58;24.6;25.26;25.54;26.5;30.4;52.36
0.705083912;4.887823803;2021-11-23 16:55:19.250;24.96;24.58;24.6;25.26;25.54;26.5;30.4;52.36
0.705084294;4.920823774;2021-11-23 16:55:19.283;24.96;24.58;24.66;25.26;25.54;26.5;30.4;52.36
0.705084479;4.936823989;2021-11-23 16:55:19.299;24.96;24.58;24.66;25.34;25.54;26.5;30.4;52.36
0.705084664;4.952824204;2021-11-23 16:55:19.315;24.96;24.58;24.66;25.34;25.64;26.5;30.4;52.36
0.705084850;4.968823791;2021-11-23 16:55:19.331;24.96;24.58;24.66;25.34;25.64;26.58;30.4;52.36
0.705085023;4.983823835;2021-11-23 16:55:19.346;24.96;24.58;24.66;25.34;25.64;26.58;31.6;52.36
0.705085208;4.999824050;2021-11-23 16:55:19.362;24.96;24.58;24.66;25.34;25.64;26.58;31.6;59.02
0.705095868;5.920824008;2021-11-23 16:55:20.283;24.96;24.58;24.74;25.34;25.64;26.58;31.6;59.02
0.705096053;5.936824223;2021-11-23 16:55:20.299;24.96;24.58;24.74;25.44;25.64;26.58;31.6;59.02
0.705096424;5.968824024;2021-11-23 16:55:20.331;24.96;24.58;24.74;25.44;25.64;26.68;31.6;59.02
0.705096609;5.984824239;2021-11-23 16:55:20.347;24.96;24.58;24.74;25.44;25.64;26.68;32.12;59.02
0.705096794;6.000823826;2021-11-23 16:55:20.363;24.96;24.58;24.74;25.44;25.64;26.68;32.12;61.98
0.705107060;6.887824270;2021-11-23 16:55:21.250;25.02;24.58;24.74;25.44;25.64;26.68;32.12;61.98
0.705107245;6.903823856;2021-11-23 16:55:21.266;25.02;24.72;24.74;25.44;25.64;26.68;32.12;61.98
0.705107431;6.919824071;2021-11-23 16:55:21.282;25.02;24.72;24.82;25.44;25.64;26.68;32.12;61.98
0.705107627;6.936823828;2021-11-23 16:55:21.299;25.02;24.72;24.82;25.54;25.64;26.68;32.12;61.98
0.705108171;6.983824303;2021-11-23 16:55:21.346;25.02;24.72;24.82;25.54;25.64;26.68;32.5;61.98
0.705108356;6.999823889;2021-11-23 16:55:21.362;25.02;24.72;24.82;25.54;25.64;26.68;32.5;64.8
0.705119201;7.936824062;2021-11-23 16:55:22.299;25.02;24.72;24.82;25.6;25.64;26.68;32.5;64.8
0.705119387;7.952824277;2021-11-23 16:55:22.315;25.02;24.72;24.82;25.6;25.78;26.68;32.5;64.8
0.705119572;7.968823863;2021-11-23 16:55:22.331;25.02;24.72;24.82;25.6;25.78;26.88;32.5;64.8
0.705119757;7.984824078;2021-11-23 16:55:22.347;25.02;24.72;24.82;25.6;25.78;26.88;33;64.8
0.705119942;8.000824293;2021-11-23 16:55:22.363;25.02;24.72;24.82;25.6;25.78;26.88;33;68.14
0.705130775;8.936824296;2021-11-23 16:55:23.299;25.02;24.72;24.82;25.66;25.78;26.88;33;68.14
0.705131146;8.968824097;2021-11-23 16:55:23.331;25.02;24.72;24.82;25.66;25.78;26.94;33;68.14
0.705131331;8.984824312;2021-11-23 16:55:23.347;25.02;24.72;24.82;25.66;25.78;26.94;33.86;68.14
0.705131516;9.000823898;2021-11-23 16:55:23.363;25.02;24.72;24.82;25.66;25.78;26.94;33.86;74.66
0.705141782;9.887823714;2021-11-23 16:55:24.250;25.08;24.72;24.82;25.66;25.78;26.94;33.86;74.66
0.705141968;9.903823929;2021-11-23 16:55:24.266;25.08;24.78;24.82;25.66;25.78;26.94;33.86;74.66
0.705142164;9.920823686;2021-11-23 16:55:24.283;25.08;24.78;24.88;25.66;25.78;26.94;33.86;74.66
0.705142720;9.968823702;2021-11-23 16:55:24.331;25.08;24.78;24.88;25.66;25.78;27;33.86;74.66
0.705142894;9.983823747;2021-11-23 16:55:24.346;25.08;24.78;24.88;25.66;25.78;27;34.22;74.66
0.705143079;9.999823962;2021-11-23 16:55:24.362;25.08;24.78;24.88;25.66;25.78;27;34.22;77.96
0.705153727;10.919823749;2021-11-23 16:55:25.282;25.08;24.78;24.94;25.66;25.78;27;34.22;77.96
0.705153924;10.936824135;2021-11-23 16:55:25.299;25.08;24.78;24.94;25.82;25.78;27;34.22;77.96
