Time (of day);Time (seconds);Time;Channel0;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7
0.457955833;0.000028969;2021-11-24 10:59:27.384;23.52;23.36;23.08;23.72;24.2;25.46;28.68;69.1
0.457956019;0.016028555;2021-11-24 10:59:27.400;23.52;23.36;23.08;23.72;24.2;25.46;28.68;71.48
0.457966493;0.921028927;2021-11-24 10:59:28.305;23.52;23.44;23.08;23.72;24.2;25.46;28.68;71.48
0.457967060;0.970029114;2021-11-24 10:59:28.354;23.52;23.44;23.08;23.72;24.26;25.46;28.68;71.48
0.457967245;0.986028700;2021-11-24 10:59:28.370;23.52;23.44;23.08;23.72;24.26;25.68;28.68;71.48
0.457967431;1.002028915;2021-11-24 10:59:28.386;23.52;23.44;23.08;23.72;24.26;25.68;29.24;71.48
0.457967616;1.018028502;2021-11-24 10:59:28.402;23.52;23.44;23.08;23.72;24.26;25.68;29.24;74.08
0.457978252;1.937028747;2021-11-24 10:59:29.321;23.52;23.44;23.16;23.72;24.26;25.68;29.24;74.08
0.457978449;1.954028504;2021-11-24 10:59:29.338;23.52;23.44;23.16;23.8;24.26;25.68;29.24;74.08
0.457978634;1.970028719;2021-11-24 10:59:29.354;23.52;23.44;23.16;23.8;24.32;25.68;29.24;74.08
0.457978819;1.986028934;2021-11-24 10:59:29.370;23.52;23.44;23.16;23.8;24.32;25.76;29.24;74.08
0.457979005;2.002028521;2021-11-24 10:59:29.386;23.52;23.44;23.16;23.8;24.32;25.76;29.5;74.08
0.457979190;2.018028736;2021-11-24 10:59:29.402;23.52;23.44;23.16;23.8;24.32;25.76;29.5;79.58
0.457989444;2.904029009;2021-11-24 10:59:30.288;23.58;23.44;23.16;23.8;24.32;25.76;29.5;79.58
0.457989630;2.920028596;2021-11-24 10:59:30.304;23.58;23.52;23.16;23.8;24.32;25.76;29.5;79.58
0.457990370;2.984028827;2021-11-24 10:59:30.368;23.58;23.52;23.16;23.8;24.32;25.86;29.5;79.58
0.457990556;3.000029042;2021-11-24 10:59:30.384;23.58;23.52;23.16;23.8;24.32;25.86;29.78;79.58
0.457990741;3.016028628;2021-11-24 10:59:30.400;23.58;23.52;23.16;23.8;24.32;25.86;29.78;82.34
0.458001586;3.953028801;2021-11-24 10:59:31.337;23.58;23.52;23.16;23.88;24.32;25.86;29.78;82.34
0.458001771;3.969029016;2021-11-24 10:59:31.353;23.58;23.52;23.16;23.88;24.44;25.86;29.78;82.34
