T;mV
10;0.352083333
11;0.3875
12;0.422916667
13;0.458333333
14;0.49375
15;0.529166667
16;0.565277778
17;0.600694444
18;0.636111111
19;0.672222222
20;1.019
21;1.071
22;1.122
23;1.174
24;1.226
25;1.277
26;1.329
27;1.381
28;1.433
29;1.485
30;1.537
31;1.589
32;1.641
33;1.693
34;1.745
35;1.797
36;1.849
37;1.902
38;1.954
39;2.006
40;2.059
41;2.111
42;2.164
43;2.216
44;2.269
45;2.322
46;2.374
47;2.427
48;2.480
49;2.532
50;2.585
51;2.638
52;2.691
53;2.744
54;2.797
55;2.850
56;2.903
57;2.956
58;3.009
59;3.062
60;3.116
61;3.169
62;3.222
63;3.275
64;3.329
65;3.382
66;3.436
67;3.489
68;3.543
69;3.596
70;3.650
71;3.703
72;3.757
73;3.810
74;3.864
75;3.918
76;3.971
77;4.025
78;4.079
79;4.133
80;4.187
81;4.240
82;4.294
83;4.348
84;4.402
85;4.456
86;4.510
87;4.564
88;4.618
89;4.672
90;4.726
91;4.781
92;4.835
93;4.889
94;4.943
95;4.997
96;5.052
97;5.106
98;5.160
99;5.215
100;5.269
101;5.323
102;5.378
103;5.432
104;5.487
105;5.541
106;5.595
107;5.650
108;5.705
109;5.759
110;5.814
111;5.868
112;5.923
113;5.977
114;6.032
115;6.087
116;6.141
117;6.196
118;6.251
119;6.306
120;6.360
121;6.415
122;6.470
123;6.525
124;6.579
125;6.634
126;6.689
127;6.744
128;6.799
129;6.854
130;6.909
131;6.964
132;7.019
133;7.074
134;7.129
135;7.184
136;7.239
137;7.294
138;7.349
139;7.404
140;7.459
141;7.514
142;7.569
143;7.624
144;7.679
145;7.734
146;7.789
147;7.844
148;7.900
149;7.955
150;8.010
151;8.065
152;8.120
153;8.175
154;8.231
155;8.286
156;8.341
157;8.396
158;8.452
159;8.507
160;8.562
161;8.618
162;8.673
163;8.728
164;8.783
165;8.839
166;8.894
167;8.949
168;9.005
169;9.060
170;9.115
171;9.171
172;9.226
173;9.282
174;9.337
175;9.392
176;9.448
177;9.503
178;9.559
179;9.614
180;9.669
181;9.725
182;9.780
183;9.836
184;9.891
185;9.947
186;10.002
187;10.057
188;10.113
189;10.168
190;10.224
191;10.279
192;10.335
193;10.390
194;10.446
195;10.501
196;10.557
197;10.612
198;10.668
199;10.723
200;10.779
201;10.834
202;10.890
203;10.945
204;11.001
205;11.056
206;11.112
207;11.167
208;11.223
209;11.278
210;11.334
211;11.389
212;11.445
213;11.501
214;11.556
215;11.612
216;11.667
217;11.723
218;11.778
219;11.834
220;11.889
221;11.945
222;12.000
223;12.056
224;12.111
225;12.167
226;12.222
227;12.278
228;12.334
229;12.389
230;12.445
231;12.500
232;12.556
233;12.611
234;12.667
235;12.722
236;12.778
237;12.833
238;12.889
239;12.944
240;13.000
241;13.056
242;13.111
243;13.167
244;13.222
245;13.278
246;13.333
247;13.389
248;13.444
249;13.500
250;13.555
251;13.611
252;13.666
253;13.722
254;13.777
255;13.833
256;13.888
257;13.944
258;13.999
259;14.055
260;14.110
261;14.166
262;14.221
263;14.277
264;14.332
265;14.388
266;14.443
267;14.499
268;14.554
269;14.609
270;14.665
271;14.720
272;14.776
273;14.831
274;14.887
275;14.942
276;14.998
277;15.053
278;15.109
279;15.164
280;15.219
281;15.275
282;15.330
283;15.386
284;15.441
285;15.496
286;15.552
287;15.607
288;15.663
289;15.718
290;15.773
291;15.829
292;15.884
293;15.940
294;15.995
295;16.050
296;16.106
297;16.161
298;16.216
299;16.272
300;16.327
301;16.383
302;16.438
303;16.493
304;16.549
305;16.604
306;16.659
307;16.715
308;16.770
309;16.825
310;16.881
311;16.936
312;16.991
313;17.046
314;17.102
315;17.157
316;17.212
317;17.268
318;17.323
319;17.378
320;17.434
321;17.489
322;17.544
323;17.599
324;17.655
325;17.710
326;17.765
327;17.820
328;17.876
329;17.931
330;17.986
331;18.041
332;18.097
333;18.152
334;18.207
335;18.262
336;18.318
337;18.373
338;18.428
339;18.483
340;18.538
341;18.594
342;18.649
343;18.704
344;18.759
345;18.814
346;18.870
347;18.925
348;18.980
349;19.035
350;19.090
351;19.146
352;19.201
353;19.256
354;19.311
355;19.366
356;19.422
357;19.477
358;19.532
359;19.587
360;19.642
